,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,row_sd
20191014,1.760480735,1.77330315,1.492525688,1.566956297,1.532867385,1.835327797,1.762852271,1.85766657,1.813653895,2.373108428,1.939966358,1.644189083,1.422844179,1.445798053,1.639461012,2.304387101,1.828487076,1.982303769,1.864814298,2.367788578,2.263254637,2.154095002,2.172583464,3.263948375,2.192889488,1.902897829,1.909730824,0.732313181,0.955739131,0.537755337,0.42841492,-0.352508138,0.462120931,0.2089999,-0.471462427,-0.47463184,-0.585732008,0.488881196,-0.111355572,-0.280022686,-0.157742655,0.113369275,-0.361852593,-0.053305364,0.46652227,0.900262567,0.833205679,0.802228456,0.670440224
20191015,1.345776202,0.745882119,0.919745548,1.084049599,1.096102914,0.878894114,1.058535087,1.278719111,0.553916407,1.254565902,1.389432766,0.855632491,1.360650604,1.525662222,1.363672066,1.270085317,1.389085271,1.269267405,1.852531407,2.642721437,2.993441652,2.602377655,2.363680676,2.931952665,3.995377181,4.542164621,1.448982807,1.387868991,0.876325048,0.668696163,1.028169324,0.72401246,1.42491341,1.720931631,0.514581393,0.572875427,0.419394862,1.796689267,1.177323229,1.121054257,0.417244106,2.20457993,1.747114366,1.176300328,1.19568108,1.55111625,2.696554012,1.397324942,0.95357482
20191016,1.118610053,0.765183837,-0.109566363,-0.061848449,0.937819416,0.861118657,1.315295619,1.553222172,1.768952439,1.439904515,1.353665939,1.455196572,0.896988376,1.09850085,1.025540536,1.172981154,0.969251339,1.578490462,2.557955931,1.588002818,1.949376114,1.436208556,1.399085367,1.693421817,1.189906219,1.388572187,1.077989791,0.410687734,-0.477739638,1.572459986,-0.309947473,-0.83736232,-0.570013786,-0.478803766,-1.130036608,-0.454405836,-1.472405097,-0.951795682,-0.826624261,-1.245077226,-1.627796474,-0.551487109,-0.498240278,-0.465826707,0.284675071,0.735934752,1.121663644,1.486023666,0.605811721
20191017,1.890723777,2.161409444,1.64608483,1.510152119,1.986706725,1.121192713,1.355735346,0.607383311,0.966658537,1.230429817,0.178736419,0.229710262,0.762800709,1.624753907,1.090975904,1.164058767,1.568766671,1.903806236,1.985994702,0.826710535,0.963183197,0.782990638,0.859560412,0.97563081,0.678445998,1.521337395,1.330640117,0.574901266,-0.503266003,2.602100155,-0.256476133,-0.661254189,-0.411058059,-0.318315713,-1.166607053,-0.104798018,-0.891698364,-0.393225765,-1.276390868,-0.645926257,-0.770599978,-0.298858137,0.114739508,0.009944922,0.056610716,0.002324711,0.019974858,0.102068007,0.656542282
20191018,0.363994383,1.112308206,0.498178901,0.763675161,1.281341253,0.207980324,0.391141676,0.133066898,0.656272537,1.013636171,0.548284689,1.014103418,0.55926427,0.65576322,0.50171481,0.595599768,0.977564803,1.071613389,1.579293284,0.298162912,0.883491719,2.425226045,3.086354407,2.620108951,0.872886425,1.998831283,2.889142858,0.964718533,-0.42344906,-0.86178798,-1.429279982,-1.695370974,-1.903464014,-2.30211218,-2.434598984,-1.671486031,-2.038723814,-1.053669947,-1.491397916,-1.086142169,-1.967221916,-1.378993426,-0.563686575,-0.628106151,0.349700184,0.824205865,1.478213941,2.693480213,0.647403681
20191019,2.611727305,2.502280577,1.938092179,1.992459021,1.66920534,1.303195825,1.658927284,2.371781457,2.242432006,1.858766919,1.142741394,0.709269022,1.244526146,2.462698115,1.126093306,1.430967098,1.785298983,2.508622371,2.661642984,1.371145147,1.540832395,1.243344787,2.262624834,2.335480544,1.303874945,1.817949316,0.154178696,-0.068785646,-0.108755499,-1.154379613,-1.440344864,-2.001909603,-1.297484229,-1.178203984,-1.19042987,0.634945361,-1.387109173,0.428889742,1.035941501,3.621176241,3.370037293,3.767984996,3.496082518,2.97760366,2.852554462,2.173251437,2.488588251,4.172931905,0.823081434
20191020,3.693579544,3.600398222,2.200880175,1.83589154,1.65149051,0.334119873,0.929995891,0.3090224,0.775060259,0.782560206,0.074145632,0.346233521,0.745335219,1.399033034,0.958146605,0.800296875,1.09860957,0.626907002,0.816024269,0.332716266,0.617795931,1.685772417,1.439354881,2.704377327,1.308773573,2.573910123,1.189451359,0.255772979,0.915883415,1.596738918,0.884635974,0.222528718,1.218698176,-0.15745161,-1.159332804,-0.885810735,-1.306371562,0.992360265,-0.440598463,0.327623644,-0.051601169,0.875540629,1.124394834,-0.025261631,0.113354465,0.036736364,0.504524521,0.567921856,0.738353566
20191021,0.797060369,0.893874911,0.558748614,0.19002336,0.682723095,-0.16364466,0.516236814,0.49538401,0.502397076,1.400779644,0.881273835,-0.013293753,1.274777784,2.465101599,1.283686568,1.871801751,1.771901841,3.064786988,3.024722675,1.771165732,1.367714898,3.127170439,2.871781366,1.807083846,2.471023832,1.711242445,1.62210971,1.177922196,1.206356017,0.853469202,0.907025221,0.219290029,1.450938603,1.128583808,-1.56808002,1.630031858,1.353735688,1.887394478,1.479667574,1.588854225,0.729571707,0.649741127,1.091771205,0.813230042,1.694250319,0.974351698,1.868759845,4.048251421,0.683532949
20191022,4.412708688,3.569983131,2.314159724,1.985265037,2.106748048,1.264096959,2.272973501,1.183237569,1.626135772,1.799837836,0.806002761,1.055394974,1.366422727,1.786959412,1.399977974,1.512408362,1.740815807,1.84790473,3.710339656,1.516814139,1.366549702,1.051867248,2.180165134,1.511695711,1.16253622,1.320481724,0.807372447,0.113911972,-0.72434503,-1.324043841,-1.221024922,-1.458277529,-0.882064643,-1.084477712,-1.58409634,-0.820677738,-1.449009661,-1.009927793,-0.582173574,-0.787848262,0.231130897,0.878054101,0.761271038,1.839407245,1.700560944,1.062088168,1.742228705,2.032654585,0.852505526
20191023,1.920781892,2.304837988,1.744806542,2.395545109,1.701782413,1.812261898,2.405058829,1.683192979,1.626480598,2.824695487,1.813949216,2.93644779,1.397340518,0.927922363,1.976280439,1.373209318,2.144068581,1.350394638,0.925554204,0.399832446,1.052365271,0.863644405,0.241187377,0.4837836,0.580061496,0.400910088,1.130749131,0.688242635,0.319475638,0.197412059,-1.088510908,-1.029409368,-0.102747574,-0.963772524,-0.921772332,-0.734014045,-1.108752131,-1.043535814,-0.477589999,-0.465740076,-0.532841994,-0.117487371,-0.111585129,0.214099111,0.150287925,0.177403905,0.298161927,0.462941682,0.522621263
20191024,0.253251927,0.156615573,0.268992212,0.374032599,-0.01894716,0.28515369,0.830593999,0.687727436,0.347632733,0.653390537,0.79616802,0.812043704,0.556507786,0.18875993,0.238412282,0.556978017,0.398946282,0.522027249,0.623610647,0.136734608,0.385329675,0.090503109,-0.129863917,0.520240576,0.348976406,0.237809016,1.303180734,1.283966906,1.055888457,0.498899156,-0.585150972,-0.348586745,-0.765016668,-0.993943303,-0.759024279,-1.078677468,-1.077913818,-0.901165793,-0.379113568,-0.538560786,-0.572202344,-0.274637775,-0.327056124,-0.039563554,0.345929295,0.43951497,0.42721632,0.84728877,0.513051549
